,M
704,-0.0771757
705,-0.14395183
706,-0.044334974
707,0.056376573
708,0.010946907
709,-0.09140668
710,-0.16912971
711,-0.040503558
712,0.03065134
713,-0.011494253
714,-0.053639848
715,-0.07060755
716,0.00711549
717,-0.01532567
718,-0.11713191
719,-0.13793103
720,0.017515052
721,0.15982485
722,0.09085933
723,0.050355773
724,0.13464697
725,0.25287357
726,0.258347
727,0.17296115
728,-0.012588943
729,-0.059660647
730,0.11767925
731,0.2474001
732,0.100164205
733,-0.087027915
734,-0.051450465
735,0.019157087
736,-0.02846196
737,-0.08976464
738,-0.17296115
739,-0.21565408
740,-0.10454296
741,-0.026819924
742,-0.06349207
743,0.07224959
744,0.22879037
745,0.25287357
746,0.1242474
747,-0.050355773
748,0.053092502
749,0.26382047
750,0.28790367
751,0.14942528
752,0.16365626
753,0.2955665
754,0.3015873
755,0.112753145
756,-0.04597701
757,0.015873017
758,0.1242474
759,0.14449918
760,0.16420361
761,0.081007116
762,0.06622879
763,0.11548988
764,0.14614122
765,-0.023535851
766,-0.25725234
767,-0.20689656
768,0.093596056
769,0.2835249
770,0.13191023
771,0.0060207993
772,0.023535851
773,0.113300495
774,0.04761905
775,-0.14395183
776,-0.14942528
777,-0.07279693
778,0.02955665
779,0.0054734536
780,-0.024083197
781,0.008757526
782,0.09469075
783,0.0
784,-0.1954023
785,-0.3136289
786,-0.04159825
787,0.19211823
788,0.08538588
789,0.0016420361
790,0.019157087
791,0.120415986
792,0.18719211
793,0.07060755
794,-0.11767925
795,-0.10454296
796,-0.027914613
797,-0.08538588
798,-0.13136289
799,-0.1833607
800,-0.15982485
801,-0.07006021
802,-0.058565956
803,-0.18281336
804,-0.26217842
805,-0.15818281
806,-0.041050903
807,-0.1302682
808,-0.25013682
809,-0.21291736
810,-0.19430761
811,-0.099616855
812,-0.07662835
813,-0.14887795
814,-0.087027915
815,0.1242474
816,0.21674877
817,0.06403941
818,0.01642036
819,0.07279693
820,-0.016967706
821,-0.14176245
822,-0.31198686
823,-0.34318554
824,-0.020799125
825,0.15873016
826,0.100164205
827,0.0032840723
828,-0.0054734536
829,0.06403941
830,-0.0016420361
831,-0.11548988
832,-0.20087576
833,-0.048166394
834,0.13409962
835,0.25615764
836,0.17296115
837,0.09578544
838,0.16694035
839,0.21182266
840,0.08264915
841,-0.05473454
842,-0.031198686
843,0.11767925
844,0.27312535
845,0.14012042
846,0.009304872
847,0.0021893815
848,-0.025177887
849,-0.062397372
850,-0.19485496
851,-0.27586207
852,-0.18281336
853,0.0054734536
